SYSTEMATIC.name	Gene.proteins.secondaryIdentifier	PROTEINS.molecular_weight	PROTEINS.pI	PROTEINS.gravy_score	PROTEINS.aromaticity_score	PROTEINS.cai	PROTEINS.instability_index	PROTEINS.aliphatic_index
YMR316C-B	YMR316C-B	11201.1	3.41	1.19	0.05	0.07	37.64	165.12
YMR316W	YMR316W	38766.8	9.12	-0.51	0.1	0.12	52.36	76.19
YMR317W	YMR317W	113165.6	4.84	-0.19	0.02	0.12	60.46	65.58
YMR318C	YMR318C	39613.9	6.73	-0.2	0.09	0.29	33.61	80.11
YMR319C	YMR319C	62778.5	5.16	-0.02	0.11	0.2	35.18	89.74
YMR320W	YMR320W	11829.6	10.33	-0.08	0.08	0.11	65.4	92.9
YMR321C	YMR321C	11621.4	5.79	-0.24	0.08	0.18	31.14	88.19
YMR322C	YMR322C	26040.8	8.38	-0.17	0.11	0.15	33.31	82.23
YMR323W	YMR323W	47299.0	5.1	-0.16	0.07	0.16	34.57	89.24
YMR324C	YMR324C	8978.6	4.08	0.68	0.14	0.14	48.96	88.65
YMR325W	YMR325W	13171.2	5.64	0.32	0.09	0.66	25.04	97.3
YMR326C	YMR326C	11706.1	8.74	0.41	0.11	0.13	49.74	114.14
YNL001W	YNL001W	44050.1	5.41	-0.34	0.1	0.15	32.58	88.37
YNL002C	YNL002C	36570.5	10.14	-0.54	0.05	0.22	49.92	91.79
YNL003C	YNL003C	31040.3	10.09	0.04	0.11	0.12	27.85	82.44
YNL004W	YNL004W	52142.6	7.67	-1.17	0.09	0.15	48.74	51.04
YNL005C	YNL005C	43253.3	10.43	-0.79	0.09	0.14	50.23	74.26
YNL006W	YNL006W	34026.3	6.5	-0.45	0.08	0.13	34.65	73.5
YNL007C	YNL007C	37595.5	9.51	-0.67	0.1	0.16	47.01	54.07
YNL008C	YNL008C	77643.9	6.71	-0.08	0.11	0.12	48.69	94.18
YNL009W	YNL009W	47868.0	9.79	-0.41	0.09	0.14	19.48	81.03
YNL010W	YNL010W	27472.7	5.09	-0.33	0.1	0.37	33.0	78.95
YNL011C	YNL011C	49897.7	5.9	-0.17	0.06	0.13	39.37	101.17
YNL012W	YNL012W	72192.7	8.29	-0.27	0.12	0.12	40.65	82.67
YNL013C	YNL013C	14984.1	11.12	0.41	0.18	0.14	25.54	94.51
YNL014W	YNL014W	115852.8	6.14	-0.28	0.07	0.17	33.8	86.17
YNL015W	YNL015W	8587.9	6.8	-0.56	0.05	0.37	13.86	88.31
YNL016W	YNL016W	50748.6	4.73	-0.85	0.08	0.29	62.96	54.32
YNL017C	YNL017C	12547.0	9.48	-0.22	0.06	0.12	39.2	73.58
YNL018C	YNL018C	69548.5	6.99	-0.67	0.09	0.14	68.53	60.72
YNL019C	YNL019C	31323.3	6.51	0.11	0.09	0.1	31.65	92.92
YNL020C	YNL020C	71382.0	9.05	-0.54	0.07	0.12	39.71	78.63
YNL021W	YNL021W	80044.6	5.16	-0.34	0.09	0.15	41.6	82.74
YNL022C	YNL022C	56189.8	9.02	-0.43	0.09	0.14	40.83	80.56
YNL023C	YNL023C	108515.1	7.91	-0.54	0.06	0.14	50.82	58.96
YNL024C	YNL024C	27733.4	6.17	-0.12	0.09	0.15	26.1	98.41
YNL024C-A	YNL024C-A	8198.8	8.9	0.49	0.12	0.12	50.58	103.47
YNL025C	YNL025C	37789.0	7.16	-0.14	0.11	0.14	57.68	94.21
YNL026W	YNL026W	54411.6	8.73	-0.29	0.1	0.12	35.91	81.84
YNL027W	YNL027W	76289.9	6.03	-1.09	0.06	0.15	49.27	58.11
YNL028W	YNL028W	12458.5	11.15	0.19	0.08	0.16	49.87	94.7
YNL029C	YNL029C	61710.3	5.49	-0.45	0.15	0.1	43.75	69.73
YNL030W	YNL030W	11386.6	11.91	-0.5	0.06	0.63	50.02	85.96
YNL031C	YNL031C	15378.3	11.99	-0.68	0.05	0.56	46.21	76.01
YNL032W	YNL032W	32743.4	5.28	-0.61	0.08	0.11	43.96	86.87
YNL033W	YNL033W	31383.4	6.51	0.13	0.1	0.1	31.61	92.75
YNL034W	YNL034W	69368.2	6.85	-0.66	0.09	0.13	70.58	61.73
YNL035C	YNL035C	43829.7	5.09	-0.47	0.08	0.2	34.39	81.49
YNL036W	YNL036W	24857.5	7.02	-0.34	0.07	0.21	45.01	83.87
YNL037C	YNL037C	39328.5	9.54	-0.21	0.06	0.27	29.29	90.84
YNL038W	YNL038W	26834.1	10.71	0.06	0.11	0.1	39.51	105.86
YNL039W	YNL039W	67685.7	6.93	-1.06	0.05	0.14	44.86	61.48
YNL040W	YNL040W	50959.6	6.52	-0.38	0.07	0.17	44.17	88.23
YNL041C	YNL041C	96952.5	4.91	-0.41	0.08	0.14	42.28	95.86
YNL042W	YNL042W	43762.7	10.41	-0.85	0.04	0.12	65.42	65.36
YNL042W-B	YNL042W-B	9937.7	9.79	-0.3	0.13	0.11	37.55	75.06
YNL043C	YNL043C	11309.0	9.88	-0.15	0.07	0.1	45.16	69.58
YNL044W	YNL044W	19413.8	8.68	0.44	0.11	0.22	27.21	109.19
YNL045W	YNL045W	77343.3	6.55	-0.37	0.12	0.24	41.43	77.48
YNL046W	YNL046W	19364.8	10.87	-0.08	0.09	0.08	46.94	90.52
YNL047C	YNL047C	74792.1	9.02	-0.65	0.08	0.12	49.47	75.55
YNL048W	YNL048W	63156.8	9.39	-0.18	0.13	0.14	32.16	85.96
YNL049C	YNL049C	98919.4	4.95	-0.27	0.09	0.15	50.12	86.58
YNL050C	YNL050C	31437.6	7.65	-1.18	0.07	0.13	55.32	59.1
YNL051W	YNL051W	45609.9	9.19	-0.31	0.07	0.14	38.86	98.04
YNL052W	YNL052W	17147.8	10.42	-0.52	0.1	0.16	50.06	66.32
YNL053W	YNL053W	54216.1	7.22	-0.45	0.06	0.1	46.38	78.14
YNL054W	YNL054W	128109.1	5.85	-0.9	0.05	0.12	45.98	63.72
YNL055C	YNL055C	30429.8	8.18	-0.09	0.1	0.36	33.92	82.77
YNL056W	YNL056W	22469.0	6.63	-0.23	0.1	0.1	34.98	90.89
YNL057W	YNL057W	11616.2	3.78	0.37	0.07	0.08	24.03	100.84
YNL058C	YNL058C	35045.4	7.26	-0.54	0.08	0.16	65.53	70.31
YNL059C	YNL059C	87536.1	5.12	-0.83	0.09	0.17	48.46	70.42
YNL061W	YNL061W	69780.8	4.68	-0.74	0.07	0.25	43.92	68.85
YNL062C	YNL062C	54389.9	7.7	-0.45	0.09	0.15	40.82	84.27
YNL063W	YNL063W	35886.3	9.83	-0.19	0.09	0.1	47.28	92.83
YNL064C	YNL064C	44666.2	6.21	-0.54	0.08	0.37	34.16	68.29
YNL065W	YNL065W	65311.0	8.99	0.21	0.12	0.16	39.39	92.92
YNL066W	YNL066W	43417.4	3.96	-0.22	0.08	0.3	27.45	65.54
YNL067W	YNL067W	21667.5	10.26	-0.26	0.07	0.78	28.12	93.11
YNL067W-A	YNL067W-A	6022.1	8.56	-0.16	0.21	0.12	70.56	59.81
YNL067W-B	YNL067W-B	5319.2	10.05	-0.15	0.17	0.11	20.4	46.67
YNL068C	YNL068C	94390.9	9.77	-0.78	0.06	0.12	48.27	65.35
YNL069C	YNL069C	22277.6	11.21	-0.37	0.09	0.72	38.9	80.09
YNL070W	YNL070W	6871.0	9.13	0.21	0.13	0.22	56.01	104.54
YNL071W	YNL071W	51819.7	8.02	-0.26	0.05	0.24	43.05	83.8
YNL072W	YNL072W	34881.5	9.27	-0.47	0.09	0.1	44.72	74.26
YNL073W	YNL073W	66141.0	9.23	-0.37	0.09	0.11	49.33	86.92
YNL074C	YNL074C	49211.9	7.93	-0.65	0.06	0.13	69.0	61.46
YNL075W	YNL075W	33487.6	9.5	-0.61	0.07	0.16	41.76	79.19
YNL076W	YNL076W	65656.6	9.92	-1.03	0.06	0.12	57.06	56.37
YNL077W	YNL077W	58886.7	6.9	-0.64	0.08	0.14	42.99	66.43
YNL078W	YNL078W	45928.3	10.47	-0.76	0.07	0.09	57.58	64.09
YNL079C	YNL079C	23515.8	4.28	-1.48	0.03	0.32	50.59	70.41
YNL080C	YNL080C	41666.1	5.84	-0.09	0.1	0.11	46.6	92.53
YNL081C	YNL081C	16106.3	11.13	-0.31	0.07	0.12	45.2	80.88
YNL082W	YNL082W	99343.3	6.23	-0.54	0.08	0.13	40.93	77.79
YNL083W	YNL083W	55763.6	8.99	-0.39	0.1	0.13	32.36	74.44
YNL084C	YNL084C	40289.8	5.0	-0.74	0.07	0.18	57.86	82.75
YNL085W	YNL085W	94478.1	5.31	-0.24	0.11	0.2	43.02	84.28
YNL086W	YNL086W	11459.2	5.14	-0.37	0.05	0.1	40.34	98.93
YNL087W	YNL087W	132520.4	8.89	-0.28	0.09	0.15	30.37	88.26
YNL088W	YNL088W	164211.2	7.04	-0.7	0.09	0.17	39.83	75.57
YNL089C	YNL089C	17126.0	10.19	0.27	0.13	0.11	45.51	75.86
YNL090W	YNL090W	21475.0	5.14	-0.13	0.09	0.12	32.69	85.63
YNL091W	YNL091W	141462.4	5.11	-1.08	0.06	0.13	64.11	57.52
YNL092W	YNL092W	45489.2	5.85	-0.28	0.11	0.11	38.29	79.5
YNL093W	YNL093W	24640.0	4.88	-0.44	0.07	0.13	25.9	75.8
YNL094W	YNL094W	66128.0	6.09	-0.59	0.09	0.17	52.17	67.91
YNL095C	YNL095C	71197.2	7.63	0.17	0.09	0.13	45.38	95.0
YNL096C	YNL096C	21646.6	10.61	-0.35	0.06	0.6	59.41	95.47
YNL097C	YNL097C	37026.0	7.82	-0.82	0.05	0.13	48.7	64.57
YNL097C-B	YNL097C-B	4626.3	10.7	-0.94	0.12	0.11	50.19	45.91
YNL097W-A	YNL097W-A	5904.3	10.86	0.08	0.1	0.1	96.41	65.67
YNL098C	YNL098C	34705.7	7.4	-0.72	0.05	0.17	39.4	65.9
YNL099C	YNL099C	27178.4	4.11	-0.49	0.07	0.15	59.71	85.03
YNL100W	YNL100W	26968.1	9.82	-0.41	0.11	0.11	48.77	85.36
YNL101W	YNL101W	80040.6	9.73	0.15	0.12	0.12	38.58	97.37
YNL102W	YNL102W	166794.4	6.12	-0.56	0.07	0.16	45.35	79.88
YNL103W	YNL103W	74275.2	5.54	-0.99	0.05	0.12	41.59	63.42
YNL103W-A	YNL103W-A	3352.0	8.79	-0.08	0.1	0.16	-2.42	82.98
YNL104C	YNL104C	68398.6	5.85	-0.38	0.08	0.29	38.15	75.87
YNL105W	YNL105W	16170.5	8.21	0.57	0.12	0.14	38.02	111.04
YNL106C	YNL106C	133346.6	8.89	-0.5	0.09	0.13	44.39	76.52
YNL107W	YNL107W	25972.4	5.06	-0.65	0.09	0.12	49.44	74.55
YNL108C	YNL108C	30741.3	5.46	-0.5	0.1	0.16	36.84	65.4
YNL109W	YNL109W	19719.5	10.62	0.68	0.1	0.09	35.14	117.79
YNL110C	YNL110C	25455.4	9.91	-1.08	0.06	0.18	46.58	64.36
YNL111C	YNL111C	13283.9	4.1	-0.2	0.08	0.33	26.65	95.09
YNL112W	YNL112W	61007.3	9.03	-0.73	0.09	0.42	36.03	66.62
YNL113W	YNL113W	16130.9	4.04	-0.81	0.04	0.19	51.99	68.88
YNL114C	YNL114C	15049.1	9.31	0.73	0.25	0.16	39.4	97.86
YNL115C	YNL115C	74031.3	6.61	-0.32	0.12	0.15	37.41	86.54
YNL116W	YNL116W	57582.0	7.07	-0.57	0.06	0.13	46.37	66.52
YNL117W	YNL117W	62789.8	7.2	-0.3	0.09	0.22	34.96	86.17
YNL118C	YNL118C	108652.3	5.65	-0.79	0.06	0.13	52.31	69.32
YNL119W	YNL119W	56468.1	6.33	-0.38	0.08	0.15	39.86	85.03
YNL120C	YNL120C	17913.9	7.24	0.27	0.09	0.1	38.16	100.65
YNL121C	YNL121C	70110.7	4.97	-0.67	0.1	0.27	41.04	70.22
YNL122C	YNL122C	13269.0	12.77	-0.75	0.08	0.11	35.35	71.21
YNL123W	YNL123W	110860.3	5.8	-0.16	0.08	0.18	34.93	90.7
YNL124W	YNL124W	54918.9	4.42	-1.04	0.07	0.15	66.04	53.53
YNL125C	YNL125C	73809.5	8.49	0.21	0.1	0.15	31.33	92.25
YNL126W	YNL126W	98226.3	7.52	-0.24	0.12	0.12	39.78	92.14
YNL127W	YNL127W	109764.9	5.34	-0.56	0.09	0.12	48.67	78.08
YNL128W	YNL128W	50149.5	6.79	-0.2	0.11	0.12	33.42	89.29
YNL129W	YNL129W	27687.8	6.68	-0.45	0.12	0.13	25.22	79.96
YNL130C	YNL130C	44824.7	6.57	0.54	0.17	0.16	42.45	96.47
YNL130C-A	YNL130C-A	5616.8	11.21	-0.01	0.15	0.1	53.92	62.29
YNL131W	YNL131W	16770.5	3.75	-0.33	0.07	0.28	41.3	86.23
YNL132W	YNL132W	119350.0	7.94	-0.4	0.07	0.24	43.03	87.77
YNL133C	YNL133C	20043.2	10.62	-1.24	0.06	0.11	22.79	62.4
YNL134C	YNL134C	41158.7	6.12	-0.11	0.08	0.24	25.58	95.28
YNL135C	YNL135C	12157.0	5.83	-0.13	0.08	0.51	29.58	89.48
YNL136W	YNL136W	49369.6	4.87	-1.57	0.04	0.13	60.12	46.63
YNL137C	YNL137C	56383.7	10.27	-0.71	0.1	0.15	42.25	72.54
YNL138W	YNL138W	57514.0	5.31	-0.53	0.08	0.22	42.65	70.83
YNL138W-A	YNL138W-A	10033.6	10.34	-1.03	0.07	0.08	43.91	73.83
YNL139C	YNL139C	183933.6	7.74	-0.49	0.1	0.15	42.95	81.89
YNL140C	YNL140C	21702.6	11.38	-0.21	0.04	0.07	49.88	96.26
YNL141W	YNL141W	39618.2	5.07	-0.34	0.1	0.25	46.91	84.19
YNL142W	YNL142W	53397.1	6.66	0.39	0.12	0.21	27.3	92.58
YNL143C	YNL143C	15335.2	10.87	-0.68	0.12	0.13	37.77	70.73
YNL144C	YNL144C	84191.4	6.51	-0.78	0.08	0.13	46.41	61.94
YNL144W-A	YNL144W-A	3049.5	4.14	0.61	0.11	0.13	43.89	115.39
YNL145W	YNL145W	4229.9	8.51	-0.48	0.08	0.27	26.67	65.68
YNL146C-A	YNL146C-A	7690.4	10.12	0.11	0.16	0.13	29.81	81.66
YNL146W	YNL146W	11891.2	10.57	0.29	0.14	0.13	34.72	96.15
YNL147W	YNL147W	13010.2	9.89	-0.62	0.04	0.19	39.15	87.7
YNL148C	YNL148C	28336.8	4.5	-0.54	0.06	0.08	50.98	76.05
YNL149C	YNL149C	15051.2	5.41	-0.88	0.07	0.22	61.68	74.75
YNL150W	YNL150W	14850.4	9.72	0.19	0.1	0.11	42.57	87.65
YNL151C	YNL151C	27695.1	4.01	-0.93	0.09	0.15	38.75	63.49
YNL152W	YNL152W	46225.3	7.31	-0.86	0.07	0.12	51.17	61.1
YNL153C	YNL153C	15169.2	4.26	-0.77	0.06	0.14	47.46	88.4
YNL154C	YNL154C	62090.1	9.44	-0.97	0.09	0.17	45.93	59.35
YNL155W	YNL155W	31527.3	9.34	-0.77	0.08	0.16	34.9	65.93
YNL156C	YNL156C	33664.9	7.04	0.02	0.11	0.15	49.94	97.91
YNL157W	YNL157W	18057.3	9.91	-0.85	0.05	0.11	48.96	60.51
YNL158W	YNL158W	22380.1	6.63	0.25	0.09	0.12	35.46	109.44
YNL159C	YNL159C	32993.1	9.91	-0.15	0.13	0.1	59.51	80.26
YNL160W	YNL160W	37324.2	5.08	0.12	0.08	0.45	34.5	94.67
YNL161W	YNL161W	86948.0	8.04	-0.87	0.1	0.15	66.2	59.08
YNL162W	YNL162W	12239.0	11.32	-1.05	0.08	0.77	35.92	45.17
YNL162W-A	YNL162W-A	8266.7	8.2	-0.45	0.07	0.13	50.3	79.45
YNL163C	YNL163C	124416.7	4.75	-0.3	0.07	0.15	48.79	89.49
YNL164C	YNL164C	39990.5	4.61	-0.87	0.07	0.12	59.88	63.08
YNL165W	YNL165W	46175.5	7.15	-0.55	0.09	0.1	57.0	70.81
YNL166C	YNL166C	49666.8	4.54	-0.98	0.04	0.13	48.05	64.11
YNL167C	YNL167C	70205.2	9.84	-0.81	0.04	0.11	54.68	64.36
YNL168C	YNL168C	28796.4	8.88	-0.31	0.07	0.17	37.34	85.37
YNL169C	YNL169C	56605.5	9.54	-0.29	0.11	0.14	38.27	75.73
YNL170W	YNL170W	14694.4	10.8	-0.13	0.1	0.11	45.06	82.81
YNL171C	YNL171C	14647.4	8.87	0.2	0.17	0.13	47.65	101.03
YNL172W	YNL172W	196133.4	5.8	-0.19	0.09	0.12	42.56	92.32
YNL173C	YNL173C	40274.4	5.48	-0.9	0.06	0.14	46.86	59.39
YNL174W	YNL174W	20958.2	5.06	0.65	0.17	0.12	53.7	88.94
YNL175C	YNL175C	45625.1	9.94	-1.05	0.06	0.21	46.5	57.26
YNL176C	YNL176C	67394.5	5.23	-0.38	0.08	0.09	60.28	58.69
YNL177C	YNL177C	34920.9	10.61	-0.48	0.07	0.11	45.75	88.23
YNL178W	YNL178W	26510.1	9.94	-0.19	0.06	0.8	34.93	87.89
YNL179C	YNL179C	17627.1	10.88	0.28	0.23	0.08	52.97	80.74
YNL180C	YNL180C	36823.6	8.71	-0.83	0.06	0.13	42.46	65.35
YNL181W	YNL181W	46517.5	9.85	-0.38	0.08	0.17	43.32	88.73
YNL182C	YNL182C	61760.5	5.5	-0.29	0.07	0.15	34.13	93.23
YNL183C	YNL183C	85998.3	8.5	-0.57	0.07	0.14	51.64	65.87
YNL184C	YNL184C	12485.9	11.6	-0.37	0.09	0.1	57.46	83.25
YNL185C	YNL185C	16681.0	10.58	0.0	0.04	0.08	26.62	94.01
YNL186W	YNL186W	88508.2	5.17	-0.86	0.06	0.17	47.8	66.3
YNL187W	YNL187W	40310.2	7.9	-0.36	0.1	0.09	41.76	78.32
YNL188W	YNL188W	50666.8	9.82	-1.05	0.08	0.1	53.34	63.89
YNL189W	YNL189W	60421.9	4.53	-0.36	0.06	0.27	43.25	86.32
YNL190W	YNL190W	21997.2	11.12	-1.04	0.08	0.6	10.03	32.8
YNL191W	YNL191W	40180.1	7.33	-0.36	0.09	0.16	38.22	79.73
YNL192W	YNL192W	129855.9	6.15	-0.36	0.13	0.15	45.41	75.04
YNL193W	YNL193W	63886.8	4.48	-0.32	0.08	0.17	48.32	94.25
YNL194C	YNL194C	34098.8	10.17	0.03	0.14	0.12	47.75	77.7
YNL195C	YNL195C	28315.3	6.43	-0.97	0.05	0.17	46.72	46.02
YNL196C	YNL196C	34326.4	9.55	-1.02	0.06	0.15	38.1	58.73
YNL197C	YNL197C	71257.3	8.59	-0.64	0.05	0.14	54.37	65.43
YNL198C	YNL198C	11785.0	10.83	-0.13	0.13	0.09	40.56	87.16
YNL199C	YNL199C	58068.0	9.44	-0.75	0.05	0.09	38.91	66.58
YNL200C	YNL200C	27524.2	8.47	-0.12	0.11	0.13	35.71	82.72
YNL201C	YNL201C	98008.4	4.72	-0.43	0.08	0.14	44.57	86.44
YNL202W	YNL202W	31117.3	9.48	0.08	0.08	0.14	17.72	92.3
YNL203C	YNL203C	22433.7	10.87	0.23	0.11	0.1	48.11	85.35
YNL204C	YNL204C	34245.0	8.31	-0.62	0.1	0.13	45.91	65.79
YNL205C	YNL205C	16690.0	10.65	-0.11	0.14	0.09	56.64	79.44
YNL206C	YNL206C	51576.2	4.15	-0.74	0.08	0.16	46.68	73.39
YNL207W	YNL207W	49106.4	4.91	-0.79	0.09	0.18	38.85	65.21
YNL208W	YNL208W	20151.5	7.88	-1.18	0.1	0.21	38.56	23.14
YNL209W	YNL209W	66584.2	5.14	-0.24	0.06	0.77	35.98	86.63
YNL210W	YNL210W	31111.3	7.5	-0.11	0.09	0.12	45.57	104.59
YNL211C	YNL211C	10659.5	10.96	-0.88	0.2	0.14	57.14	46.69
YNL212W	YNL212W	88817.3	4.71	-0.6	0.09	0.17	40.3	73.08
YNL213C	YNL213C	25300.8	11.05	-1.02	0.07	0.13	52.92	66.02
YNL214W	YNL214W	23173.7	9.84	-0.43	0.11	0.12	54.4	79.57
YNL215W	YNL215W	36123.2	4.33	-1.36	0.03	0.14	74.17	54.81
YNL216W	YNL216W	92368.2	4.59	-0.79	0.07	0.15	36.45	61.37
YNL217W	YNL217W	37155.3	8.53	-0.29	0.1	0.13	33.28	84.67
YNL218W	YNL218W	66551.0	8.56	-0.52	0.07	0.13	51.74	84.69
YNL219C	YNL219C	63786.1	8.76	0.34	0.16	0.16	38.89	102.27
YNL220W	YNL220W	48281.8	8.37	-0.27	0.09	0.34	29.76	89.36
YNL221C	YNL221C	100455.3	10.4	-0.59	0.08	0.12	42.69	74.61
YNL222W	YNL222W	23462.7	4.95	-0.58	0.09	0.15	44.44	71.05
YNL223W	YNL223W	55106.0	4.31	-0.3	0.09	0.1	39.53	78.33
YNL224C	YNL224C	86927.4	5.4	-0.93	0.07	0.14	52.6	63.62
YNL225C	YNL225C	67389.0	5.86	-0.85	0.06	0.14	51.11	76.38
YNL226W	YNL226W	16048.8	10.15	0.0	0.18	0.08	44.71	80.7
YNL227C	YNL227C	68775.5	6.11	-1.1	0.09	0.15	48.66	58.97
YNL228W	YNL228W	28634.8	4.73	0.59	0.16	0.15	60.83	87.86
YNL229C	YNL229C	40265.2	6.44	-0.55	0.1	0.12	38.55	69.77
YNL230C	YNL230C	44014.3	10.61	-0.89	0.07	0.13	50.42	66.21
YNL231C	YNL231C	40715.3	8.21	-0.52	0.1	0.2	39.84	83.19
YNL232W	YNL232W	31578.7	4.97	-0.48	0.06	0.12	45.36	71.32
YNL233W	YNL233W	100546.5	4.67	-0.92	0.06	0.14	54.7	62.37
YNL234W	YNL234W	47827.2	8.76	-0.49	0.07	0.13	39.79	77.13
YNL235C	YNL235C	16153.0	7.62	0.26	0.08	0.1	39.47	108.4
YNL236W	YNL236W	111309.9	8.78	-0.26	0.11	0.13	45.94	84.64
YNL237W	YNL237W	51639.5	6.68	0.42	0.14	0.12	36.43	97.85
YNL238W	YNL238W	89957.0	4.59	-0.47	0.09	0.15	37.91	72.62
YNL239W	YNL239W	52090.1	8.03	-0.41	0.1	0.27	31.29	82.86
YNL240C	YNL240C	54152.8	7.61	-0.24	0.07	0.08	41.98	85.85
YNL241C	YNL241C	57515.0	6.22	-0.46	0.1	0.17	33.44	77.32
YNL242W	YNL242W	178385.2	5.74	-0.27	0.08	0.12	43.93	91.12
YNL243W	YNL243W	108880.1	5.11	-0.46	0.06	0.14	45.59	82.97
YNL244C	YNL244C	12313.3	8.22	-0.54	0.06	0.24	50.56	82.08
YNL245C	YNL245C	20386.7	10.43	-1.11	0.04	0.12	41.0	68.33
YNL246W	YNL246W	30592.1	4.38	-0.81	0.11	0.14	47.12	63.34
YNL247W	YNL247W	87526.0	6.84	-0.56	0.1	0.27	37.35	75.78
YNL248C	YNL248C	46668.3	10.13	-0.43	0.07	0.22	40.03	87.56
YNL249C	YNL249C	61660.9	6.51	-0.26	0.11	0.13	41.83	86.44
YNL250W	YNL250W	152549.6	5.87	-0.78	0.05	0.17	43.11	84.62
YNL251C	YNL251C	63871.7	9.58	-0.66	0.07	0.16	53.58	69.95
YNL252C	YNL252C	32218.0	9.61	-0.59	0.1	0.12	31.59	76.04
YNL253W	YNL253W	47176.3	8.89	-0.33	0.09	0.15	35.59	81.3
YNL254C	YNL254C	46212.1	7.53	-0.65	0.08	0.12	54.49	78.88
YNL255C	YNL255C	17107.9	7.88	-0.81	0.06	0.42	56.27	32.8
YNL256W	YNL256W	93108.8	6.4	-0.22	0.08	0.15	41.42	91.8
YNL257C	YNL257C	142839.1	8.89	-0.32	0.12	0.13	41.71	83.73
YNL258C	YNL258C	88031.2	4.59	-0.47	0.1	0.14	37.07	86.88
YNL259C	YNL259C	8222.7	8.71	-0.15	0.07	0.17	27.74	94.1
YNL260C	YNL260C	18895.53	5.48	-0.54	0.09	0.13	46.26	85.99
YNL261W	YNL261W	55281.8	5.72	-0.18	0.11	0.15	43.21	93.15
YNL262W	YNL262W	255663.5	6.94	-0.38	0.1	0.15	38.94	82.28
YNL263C	YNL263C	35503.3	9.14	0.04	0.14	0.16	38.07	88.61
YNL264C	YNL264C	40677.2	7.23	-0.53	0.11	0.2	39.24	75.48
YNL265C	YNL265C	34489.9	5.78	-0.66	0.04	0.15	58.24	92.13
YNL266W	YNL266W	15509.0	5.79	0.71	0.19	0.12	36.57	96.93
YNL267W	YNL267W	119912.6	6.46	-0.53	0.07	0.15	40.48	78.39
YNL268W	YNL268W	68088.1	6.99	0.3	0.14	0.22	34.1	96.52
YNL269W	YNL269W	15336.8	11.36	-0.12	0.1	0.09	49.84	84.83
YNL270C	YNL270C	64015.9	8.0	0.39	0.14	0.12	37.27	98.99
YNL271C	YNL271C	219655.2	6.49	-0.73	0.06	0.14	46.65	72.69
YNL272C	YNL272C	84622.5	4.77	-0.8	0.05	0.15	55.87	72.39
YNL273W	YNL273W	141104.4	5.93	-0.41	0.09	0.15	42.77	83.9
YNL274C	YNL274C	38824.8	6.3	-0.28	0.06	0.16	44.57	90.06
YNL275W	YNL275W	65030.1	7.92	0.29	0.13	0.1	30.23	95.48
YNL276C	YNL276C	14118.6	8.02	0.23	0.08	0.1	53.14	74.91
YNL277W	YNL277W	53649.0	5.35	-0.26	0.08	0.14	38.63	81.56
YNL277W-A	YNL277W-A	7220.1	11.39	0.0	0.08	0.05	60.75	102.48
YNL278W	YNL278W	118297.5	9.26	-0.83	0.08	0.14	54.29	59.23
YNL279W	YNL279W	73345.3	6.15	0.13	0.08	0.1	34.78	105.6
YNL280C	YNL280C	50624.8	9.09	0.21	0.15	0.15	31.71	103.92
YNL281W	YNL281W	17235.4	4.35	-0.49	0.07	0.18	25.84	86.52
YNL282W	YNL282W	22624.0	10.11	-0.24	0.09	0.09	39.21	93.71
YNL283C	YNL283C	52291.1	6.97	-0.39	0.06	0.14	55.33	57.38
YNL284C	YNL284C	36383.1	11.06	-0.52	0.09	0.14	37.67	77.79
YNL285W	YNL285W	14070.1	5.09	-0.29	0.08	0.1	12.93	86.72
YNL286W	YNL286W	32271.5	4.63	-0.8	0.07	0.11	30.52	72.36
YNL287W	YNL287W	104797.8	4.74	-0.15	0.08	0.24	40.58	95.56
YNL288W	YNL288W	41154.9	7.14	-0.14	0.06	0.13	36.81	94.56
YNL289W	YNL289W	32104.5	9.7	-0.37	0.07	0.12	57.76	90.12
YNL290W	YNL290W	38201.0	6.38	-0.36	0.06	0.12	38.38	91.65
YNL291C	YNL291C	61544.0	4.15	-0.16	0.13	0.13	36.92	75.94
YNL292W	YNL292W	45269.8	6.54	-0.61	0.06	0.13	39.84	77.23
YNL293W	YNL293W	73000.1	7.66	-0.7	0.1	0.12	42.44	71.62
YNL294C	YNL294C	61527.9	6.7	-0.1	0.11	0.12	46.09	92.55
YNL295W	YNL295W	61264.2	10.37	-0.81	0.09	0.11	52.89	68.55
YNL296W	YNL296W	11443.5	7.76	0.09	0.07	0.08	55.19	83.09
YNL297C	YNL297C	186808.5	5.38	-0.1	0.09	0.13	44.62	101.03
YNL298W	YNL298W	93928.1	9.51	-0.73	0.06	0.13	52.64	65.75
YNL299W	YNL299W	74177.3	7.03	-0.82	0.08	0.14	49.7	72.99
YNL300W	YNL300W	10170.5	7.53	0.39	0.06	0.34	13.0	75.67
YNL301C	YNL301C	20593.7	12.23	-0.4	0.06	0.68	39.93	78.53
YNL302C	YNL302C	15897.3	10.12	-0.52	0.07	0.76	51.17	77.93
YNL303W	YNL303W	13566.0	8.85	0.12	0.18	0.12	42.53	78.8
YNL304W	YNL304W	47112.6	6.79	-0.53	0.07	0.1	44.5	74.43
YNL305C	YNL305C	33636.2	4.63	0.37	0.13	0.1	49.99	104.87
YNL306W	YNL306W	24580.8	10.53	-0.47	0.1	0.14	38.23	70.33
